Authors,Title,Year,Source title,Volume,Issue,Page start,Cited by,DOI,Affiliations,Abstract,Author Keywords,References,Document Type,Language of Original Document,Publisher,ISSN
Alfa F.; Teta F.; Kapa B.,Measuring Fiscal capacity across municipalities: Canada and Tax competition [registro sintetico 039],2005,Journal of Public Economics,1,1,1,31,10.5555/exemplo.0039,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de tax competition, tax reform em entes subnacionais.",tax competition; tax reform; municipal finance; tax effort,"KAPA F., 2003, NOVA ECONOMIA, V4, P201; ETA F., 1996, GESTION Y POLITICA PUBLICA, V22, P195; ETA A., 1982, NOVA ECONOMIA, V44, P174; KAPA D., 2000, JOURNAL OF PUBLIC ECONOMICS, V1, P154; TETA E., 1975, NATIONAL TAX JOURNAL, V57, P244; ETA D., 1994, JOURNAL OF PUBLIC ECONOMICS, V30, P75; ZETA E., 1981, NATIONAL TAX JOURNAL, V23, P202; TETA E., 1976, JOURNAL OF PUBLIC ECONOMICS, V22, P46; EPSILON B., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V27, P339; IOTA B., 1978, INTERNATIONAL TAX AND PUBLIC FINANCE, V44, P322; ALFA D., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V25, P139; ZETA B., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V15, P180; KAPA D., 1984, PUBLIUS: THE JOURNAL OF FEDERALISM, V21, P260; KAPA B., 2002, GESTION Y POLITICA PUBLICA, V11, P201; IOTA A., 1975, GESTION Y POLITICA PUBLICA, V12, P54; DELTA D., 1993, GESTION Y POLITICA PUBLICA, V43, P129; ZETA F., 1978, REVISTA DE ADMINISTRACAO PUBLICA, V48, P386; IOTA F., 1987, INTERNATIONAL TAX AND PUBLIC FINANCE, V60, P386; EPSILON F., 1988, NATIONAL TAX JOURNAL, V33, P320; ZETA D., 1983, JOURNAL OF PUBLIC ECONOMICS, V24, P157; ETA E., 2000, NOVA ECONOMIA, V4, P336; TETA D., 1986, NOVA ECONOMIA, V2, P30; BETA E., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V20, P385",Article,English,Editora Sintetica,00472727
Kapa F.; Teta A.,State capacity and Subnational debt in subnational governments: evidence from Tax effort [registro sintetico 040],2017,International Tax and Public Finance,1,1,1,15,10.5555/exemplo.0040,"Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de fiscal capacity, intergovernmental transfers em entes subnacionais.",fiscal capacity; intergovernmental transfers; fiscal federalism; local government,"ALFA D., 2004, PUBLIUS: THE JOURNAL OF FEDERALISM, V42, P44; ETA D., 2017, NOVA ECONOMIA, V24, P354; EPSILON C., 1992, GESTION Y POLITICA PUBLICA, V37, P254; ALFA E., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V13, P265; ALFA B., 1996, NOVA ECONOMIA, V34, P88; EPSILON A., 2005, JOURNAL OF PUBLIC ECONOMICS, V25, P398; ZETA F., 1992, JOURNAL OF PUBLIC ECONOMICS, V20, P244; DELTA E., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P56; EPSILON C., 1999, JOURNAL OF PUBLIC ECONOMICS, V25, P242; EPSILON A., 1993, REVISTA DE ADMINISTRACAO PUBLICA, V29, P257; ETA F., 1992, GESTION Y POLITICA PUBLICA, V58, P162; ALFA B., 1995, GESTION Y POLITICA PUBLICA, V35, P241; IOTA F., 2000, GESTION Y POLITICA PUBLICA, V5, P141; ETA C., 2009, PUBLIUS: THE JOURNAL OF FEDERALISM, V34, P148; BETA C., 2001, GESTION Y POLITICA PUBLICA, V1, P22; IOTA F., 2005, JOURNAL OF PUBLIC ECONOMICS, V23, P309; ZETA C., 1994, NATIONAL TAX JOURNAL, V57, P281; BETA E., 2008, GESTION Y POLITICA PUBLICA, V27, P365; BETA C., 1992, NOVA ECONOMIA, V12, P371; BETA D., 1999, GESTION Y POLITICA PUBLICA, V51, P381; ZETA D., 1999, PUBLIUS: THE JOURNAL OF FEDERALISM, V52, P173; ZETA B., 2009, GESTION Y POLITICA PUBLICA, V10, P273; IOTA D., 2008, JOURNAL OF PUBLIC ECONOMICS, V9, P110; ZETA F., 1989, PUBLIUS: THE JOURNAL OF FEDERALISM, V5, P258; ALFA E., 2008, INTERNATIONAL TAX AND PUBLIC FINANCE, V37, P222",Article,English,Editora Sintetica,09275940
Gama B.; Delta F.; Delta E.,Tax effort revisited: Intergovernmental transfers under Canada [registro sintetico 041],2014,Nova Economia,1,1,1,19,10.5555/exemplo.0041,"University of Toronto, Toronto, Canada; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de regional inequality, local government em entes subnacionais.",regional inequality; local government; fiscal federalism,"BETA C., 2005, REVISTA DE ADMINISTRACAO PUBLICA, V57, P41; ZETA A., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V5, P63; ZETA B., 1984, PUBLIUS: THE JOURNAL OF FEDERALISM, V41, P392; GAMA D., 1992, REVISTA DE ADMINISTRACAO PUBLICA, V4, P229; KAPA E., 2003, GESTION Y POLITICA PUBLICA, V3, P21; IOTA D., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V15, P151; ZETA C., 2000, REVISTA DE ADMINISTRACAO PUBLICA, V15, P112; IOTA B., 1993, GESTION Y POLITICA PUBLICA, V52, P296; IOTA F., 1984, INTERNATIONAL TAX AND PUBLIC FINANCE, V50, P89; ALFA E., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V24, P33; EPSILON F., 1986, REVISTA DE ADMINISTRACAO PUBLICA, V8, P205; ETA E., 2014, REVISTA DE ADMINISTRACAO PUBLICA, V27, P116; ALFA C., 2014, REVISTA DE ADMINISTRACAO PUBLICA, V22, P337; EPSILON A., 2004, PUBLIUS: THE JOURNAL OF FEDERALISM, V37, P69; ETA D., 2005, NOVA ECONOMIA, V40, P233; DELTA C., 2003, INTERNATIONAL TAX AND PUBLIC FINANCE, V8, P207; GAMA C., 2008, INTERNATIONAL TAX AND PUBLIC FINANCE, V5, P377",Article,English,Editora Sintetica,01036351
Teta B.,Intergovernmental transfers and Soft budget constraint in subnational governments: evidence from Tax competition [registro sintetico 042],2024,Revista de Administracao Publica,1,1,1,1,10.5555/exemplo.0042,"Universidad Nacional Autonoma de Mexico, Mexico; Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de soft budget constraint, revenue sharing em entes subnacionais.",soft budget constraint; revenue sharing; state capacity; local government; tax reform,"IOTA C., 2011, JOURNAL OF PUBLIC ECONOMICS, V41, P84; KAPA F., 2004, JOURNAL OF PUBLIC ECONOMICS, V20, P54; ALFA F., 1999, NOVA ECONOMIA, V23, P216; ALFA F., 2008, GESTION Y POLITICA PUBLICA, V7, P176; BETA B., 2005, GESTION Y POLITICA PUBLICA, V57, P242; TETA A., 2023, JOURNAL OF PUBLIC ECONOMICS, V51, P164; TETA B., 2021, NATIONAL TAX JOURNAL, V34, P289; EPSILON E., 2006, INTERNATIONAL TAX AND PUBLIC FINANCE, V23, P129; ALFA B., 2016, JOURNAL OF PUBLIC ECONOMICS, V53, P266; ETA F., 2017, PUBLIUS: THE JOURNAL OF FEDERALISM, V11, P224; GAMA B., 1994, NATIONAL TAX JOURNAL, V14, P373; KAPA E., 2006, NATIONAL TAX JOURNAL, V1, P45; TETA A., 2000, REVISTA DE ADMINISTRACAO PUBLICA, V35, P37; ZETA C., 2013, REVISTA DE ADMINISTRACAO PUBLICA, V57, P237; TETA F., 2022, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P125; DELTA C., 2006, NATIONAL TAX JOURNAL, V7, P303; GAMA B., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V37, P300; TETA A., 2012, NOVA ECONOMIA, V47, P28; TETA B., 2006, NOVA ECONOMIA, V44, P366; DELTA F., 2014, PUBLIUS: THE JOURNAL OF FEDERALISM, V45, P242; KAPA B., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V39, P196; BETA F., 2001, GESTION Y POLITICA PUBLICA, V57, P118; ALFA D., 2012, GESTION Y POLITICA PUBLICA, V48, P115; ALFA B., 1997, INTERNATIONAL TAX AND PUBLIC FINANCE, V52, P1; ALFA D., 1995, PUBLIUS: THE JOURNAL OF FEDERALISM, V16, P113; ALFA E., 2014, REVISTA DE ADMINISTRACAO PUBLICA, V59, P212; EPSILON A., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V2, P246; BETA F., 1997, INTERNATIONAL TAX AND PUBLIC FINANCE, V10, P271",Article,English,Editora Sintetica,00347612
Beta E.; Eta A.; Beta A.,Canada and Fiscal equalization in subnational governments: evidence from Regional inequality [registro sintetico 043],2006,Revista de Administracao Publica,1,1,1,69,10.5555/exemplo.0043,"Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de municipal finance, tax reform em entes subnacionais.",municipal finance; tax reform; fiscal decentralization; tax effort; soft budget constraint,"DELTA A., 1998, NOVA ECONOMIA, V48, P107; ETA A., 1995, NATIONAL TAX JOURNAL, V35, P267; ZETA F., 1979, NATIONAL TAX JOURNAL, V47, P123; BETA A., 1987, JOURNAL OF PUBLIC ECONOMICS, V20, P159; EPSILON B., 1991, REVISTA DE ADMINISTRACAO PUBLICA, V37, P172; DELTA A., 1978, NATIONAL TAX JOURNAL, V3, P59; KAPA B., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V30, P209; KAPA E., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V59, P389; BETA A., 2002, NATIONAL TAX JOURNAL, V46, P374; ALFA F., 1997, INTERNATIONAL TAX AND PUBLIC FINANCE, V55, P221; ALFA B., 1995, JOURNAL OF PUBLIC ECONOMICS, V29, P131; GAMA C., 2001, JOURNAL OF PUBLIC ECONOMICS, V55, P179; ALFA C., 1988, NATIONAL TAX JOURNAL, V11, P227; GAMA F., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V49, P320; ZETA C., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P212; IOTA A., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V35, P183; ZETA A., 2000, GESTION Y POLITICA PUBLICA, V50, P123; ZETA A., 1993, INTERNATIONAL TAX AND PUBLIC FINANCE, V7, P19; ZETA D., 1996, JOURNAL OF PUBLIC ECONOMICS, V24, P33; IOTA A., 2006, PUBLIUS: THE JOURNAL OF FEDERALISM, V11, P109; IOTA A., 1996, NOVA ECONOMIA, V35, P126; ETA E., 1998, GESTION Y POLITICA PUBLICA, V41, P46",Article,English,Editora Sintetica,00347612
Epsilon A.; Epsilon D.,Measuring State capacity across municipalities: Fiscal capacity and Municipal finance [registro sintetico 044],2020,Nova Economia,1,1,1,12,10.5555/exemplo.0044,"Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de fiscal decentralization, intergovernmental transfers em entes subnacionais.",fiscal decentralization; intergovernmental transfers; fiscal equalization; fiscal capacity; state capacity,"KAPA F., 2010, NOVA ECONOMIA, V38, P73; BETA E., 1992, NOVA ECONOMIA, V26, P156; BETA A., 2013, NATIONAL TAX JOURNAL, V35, P8; BETA C., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V36, P58; TETA F., 2006, NOVA ECONOMIA, V57, P141; TETA B., 2018, NATIONAL TAX JOURNAL, V17, P156; ETA D., 2012, NOVA ECONOMIA, V12, P228; BETA D., 2000, JOURNAL OF PUBLIC ECONOMICS, V54, P106; ALFA D., 2016, GESTION Y POLITICA PUBLICA, V15, P55; DELTA C., 2011, JOURNAL OF PUBLIC ECONOMICS, V18, P320; ALFA B., 1992, NATIONAL TAX JOURNAL, V11, P338; KAPA C., 2011, JOURNAL OF PUBLIC ECONOMICS, V12, P24; GAMA D., 1993, GESTION Y POLITICA PUBLICA, V4, P197; EPSILON F., 1992, REVISTA DE ADMINISTRACAO PUBLICA, V38, P115; ALFA A., 1999, NATIONAL TAX JOURNAL, V18, P67; ZETA C., 2007, NOVA ECONOMIA, V12, P71",Article,English,Editora Sintetica,01036351
Zeta C.; Gama E.; Beta B.,The political economy of Fiscal capacity: State capacity and the role of Soft budget constraint [registro sintetico 045],2013,Gestion y Politica Publica,1,1,1,7,10.5555/exemplo.0045,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de local government, state capacity em entes subnacionais.",local government; state capacity; tax competition,"ALFA A., 1986, NOVA ECONOMIA, V25, P190; DELTA C., 1983, PUBLIUS: THE JOURNAL OF FEDERALISM, V29, P250; BETA A., 1997, REVISTA DE ADMINISTRACAO PUBLICA, V46, P252; BETA D., 1986, PUBLIUS: THE JOURNAL OF FEDERALISM, V31, P89; DELTA D., 1997, NATIONAL TAX JOURNAL, V8, P98; BETA C., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V31, P123; ZETA E., 1984, NATIONAL TAX JOURNAL, V33, P114; TETA F., 1989, REVISTA DE ADMINISTRACAO PUBLICA, V40, P193; BETA A., 2013, PUBLIUS: THE JOURNAL OF FEDERALISM, V34, P29; DELTA E., 1988, REVISTA DE ADMINISTRACAO PUBLICA, V56, P162; DELTA A., 1985, PUBLIUS: THE JOURNAL OF FEDERALISM, V17, P240; TETA F., 1987, NATIONAL TAX JOURNAL, V52, P232; ZETA A., 1989, JOURNAL OF PUBLIC ECONOMICS, V43, P185; BETA A., 2005, PUBLIUS: THE JOURNAL OF FEDERALISM, V31, P132; GAMA E., 1983, NOVA ECONOMIA, V42, P264; ALFA F., 1998, NOVA ECONOMIA, V48, P17",Article,English,Editora Sintetica,14054981
Teta F.; Kapa B.,The political economy of Fiscal federalism: Regional inequality and the role of Intergovernmental transfers [registro sintetico 046],2017,Gestion y Politica Publica,1,1,1,9,10.5555/exemplo.0046,"Universidad Nacional Autonoma de Mexico, Mexico; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de subnational debt, intergovernmental transfers em entes subnacionais.",subnational debt; intergovernmental transfers; tax competition; regional inequality; fiscal federalism,"TETA B., 2013, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P384; ZETA E., 1993, NATIONAL TAX JOURNAL, V26, P13; GAMA A., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V15, P34; TETA C., 2003, GESTION Y POLITICA PUBLICA, V48, P252; DELTA E., 2015, INTERNATIONAL TAX AND PUBLIC FINANCE, V13, P241; DELTA C., 2012, PUBLIUS: THE JOURNAL OF FEDERALISM, V18, P116; ZETA A., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V22, P212; ALFA E., 1998, GESTION Y POLITICA PUBLICA, V11, P123; ALFA B., 2006, GESTION Y POLITICA PUBLICA, V17, P311; TETA D., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V46, P198; GAMA C., 1994, REVISTA DE ADMINISTRACAO PUBLICA, V8, P141; ETA B., 2016, INTERNATIONAL TAX AND PUBLIC FINANCE, V34, P70; KAPA C., 2015, GESTION Y POLITICA PUBLICA, V4, P86; DELTA D., 1992, NATIONAL TAX JOURNAL, V38, P232; ETA C., 2015, REVISTA DE ADMINISTRACAO PUBLICA, V43, P115; GAMA F., 1995, NOVA ECONOMIA, V27, P49; ALFA D., 2016, GESTION Y POLITICA PUBLICA, V7, P9",Article,English,Editora Sintetica,14054981
Epsilon B.,Regional inequality and Fiscal capacity in subnational governments: evidence from Brazil [registro sintetico 047],2024,Publius: The Journal of Federalism,1,1,1,3,10.5555/exemplo.0047,"Universidad Nacional Autonoma de Mexico, Mexico; Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de tax competition, fiscal decentralization em entes subnacionais.",tax competition; fiscal decentralization; tax effort,"IOTA E., 2000, PUBLIUS: THE JOURNAL OF FEDERALISM, V5, P304; EPSILON E., 2006, INTERNATIONAL TAX AND PUBLIC FINANCE, V56, P355; EPSILON F., 2001, PUBLIUS: THE JOURNAL OF FEDERALISM, V24, P269; EPSILON F., 2020, NATIONAL TAX JOURNAL, V45, P380; ALFA E., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V14, P345; ZETA A., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V22, P348; GAMA D., 2024, JOURNAL OF PUBLIC ECONOMICS, V51, P120; ETA A., 2024, INTERNATIONAL TAX AND PUBLIC FINANCE, V35, P210; ETA B., 2022, NOVA ECONOMIA, V15, P190; ZETA D., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V50, P187; GAMA B., 2014, INTERNATIONAL TAX AND PUBLIC FINANCE, V57, P137; BETA A., 2010, INTERNATIONAL TAX AND PUBLIC FINANCE, V57, P208; KAPA D., 2014, NATIONAL TAX JOURNAL, V31, P299; TETA C., 2012, REVISTA DE ADMINISTRACAO PUBLICA, V23, P177; ETA C., 1999, GESTION Y POLITICA PUBLICA, V31, P355; ALFA F., 2015, GESTION Y POLITICA PUBLICA, V11, P202; ZETA A., 2024, NOVA ECONOMIA, V50, P150; IOTA F., 2000, NOVA ECONOMIA, V16, P361; KAPA B., 2005, GESTION Y POLITICA PUBLICA, V55, P155",Article,English,Editora Sintetica,00485950
Beta E.; Teta F.,Subnational debt and Intergovernmental transfers in subnational governments: evidence from Fiscal capacity [registro sintetico 048],2020,Publius: The Journal of Federalism,1,1,1,0,10.5555/exemplo.0048,"Universidade Federal de Pernambuco, Recife, Brazil; Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de fiscal federalism, revenue sharing em entes subnacionais.",fiscal federalism; revenue sharing; regional inequality; fiscal equalization; tax effort,"DELTA A., 1990, NATIONAL TAX JOURNAL, V6, P46; DELTA B., 2005, JOURNAL OF PUBLIC ECONOMICS, V5, P268; ZETA C., 1999, PUBLIUS: THE JOURNAL OF FEDERALISM, V48, P246; EPSILON C., 1991, NATIONAL TAX JOURNAL, V17, P84; EPSILON A., 1992, REVISTA DE ADMINISTRACAO PUBLICA, V4, P357; EPSILON B., 2015, GESTION Y POLITICA PUBLICA, V47, P169; ZETA E., 2005, INTERNATIONAL TAX AND PUBLIC FINANCE, V13, P310; IOTA A., 2014, INTERNATIONAL TAX AND PUBLIC FINANCE, V54, P355; ETA D., 1999, NOVA ECONOMIA, V2, P118; EPSILON A., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P34; KAPA B., 1996, GESTION Y POLITICA PUBLICA, V46, P232; TETA B., 2009, NATIONAL TAX JOURNAL, V53, P340; TETA E., 2003, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P99; KAPA B., 1993, GESTION Y POLITICA PUBLICA, V41, P235; DELTA C., 2006, PUBLIUS: THE JOURNAL OF FEDERALISM, V34, P273; ZETA F., 1991, NATIONAL TAX JOURNAL, V15, P371",Article,English,Editora Sintetica,00485950
Delta F.; Teta E.; Delta B.,The political economy of Regional inequality: Municipal finance and the role of Fiscal equalization [registro sintetico 049],1997,International Tax and Public Finance,1,1,1,26,10.5555/exemplo.0049,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de local government, municipal finance em entes subnacionais.",local government; municipal finance; regional inequality,"ALFA E., 1980, NATIONAL TAX JOURNAL, V19, P26; ZETA E., 1977, INTERNATIONAL TAX AND PUBLIC FINANCE, V12, P323; DELTA D., 1970, INTERNATIONAL TAX AND PUBLIC FINANCE, V21, P62; IOTA F., 1986, GESTION Y POLITICA PUBLICA, V24, P352; TETA E., 1979, GESTION Y POLITICA PUBLICA, V5, P55; BETA E., 1982, PUBLIUS: THE JOURNAL OF FEDERALISM, V31, P35; EPSILON F., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V29, P163; TETA F., 1983, GESTION Y POLITICA PUBLICA, V46, P191; IOTA D., 1994, NOVA ECONOMIA, V60, P162; KAPA A., 1973, GESTION Y POLITICA PUBLICA, V30, P45; EPSILON B., 1971, GESTION Y POLITICA PUBLICA, V59, P286; GAMA A., 1984, NOVA ECONOMIA, V40, P18; EPSILON F., 1972, GESTION Y POLITICA PUBLICA, V49, P339; ZETA D., 1986, NATIONAL TAX JOURNAL, V10, P202; BETA F., 1993, NATIONAL TAX JOURNAL, V3, P148; GAMA E., 1973, NOVA ECONOMIA, V5, P162; GAMA E., 1989, GESTION Y POLITICA PUBLICA, V27, P87",Article,English,Editora Sintetica,09275940
Eta F.; Zeta C.; Beta B.; Teta E.,The political economy of Fiscal equalization: Regional inequality and the role of State capacity [registro sintetico 050],2009,Nova Economia,1,1,1,38,10.5555/exemplo.0050,"Georgia State University, Atlanta, United States; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de fiscal decentralization, local government em entes subnacionais.",fiscal decentralization; local government; soft budget constraint,"DELTA D., 1982, GESTION Y POLITICA PUBLICA, V53, P263; ZETA B., 1979, JOURNAL OF PUBLIC ECONOMICS, V33, P241; GAMA E., 1989, JOURNAL OF PUBLIC ECONOMICS, V12, P374; ZETA F., 1985, NOVA ECONOMIA, V27, P29; ALFA B., 1997, JOURNAL OF PUBLIC ECONOMICS, V1, P391; EPSILON E., 1980, NATIONAL TAX JOURNAL, V21, P117; ZETA C., 2009, JOURNAL OF PUBLIC ECONOMICS, V20, P192; KAPA C., 1991, PUBLIUS: THE JOURNAL OF FEDERALISM, V19, P57; DELTA A., 2008, NOVA ECONOMIA, V27, P388; KAPA B., 2005, NOVA ECONOMIA, V52, P27; GAMA B., 2005, JOURNAL OF PUBLIC ECONOMICS, V17, P259; ZETA D., 1992, GESTION Y POLITICA PUBLICA, V20, P69",Article,English,Editora Sintetica,01036351
Alfa C.; Gama C.; Gama F.,Measuring Soft budget constraint across municipalities: Fiscal capacity and Intergovernmental transfers [registro sintetico 051],2009,Journal of Public Economics,1,1,1,4,10.5555/exemplo.0051,"Georgia State University, Atlanta, United States; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de tax effort, municipal finance em entes subnacionais.",tax effort; municipal finance; fiscal federalism; regional inequality; fiscal capacity,"ALFA B., 1990, NATIONAL TAX JOURNAL, V40, P35; TETA F., 1980, INTERNATIONAL TAX AND PUBLIC FINANCE, V56, P237; ETA C., 2004, PUBLIUS: THE JOURNAL OF FEDERALISM, V25, P159; KAPA D., 1989, JOURNAL OF PUBLIC ECONOMICS, V47, P160; ZETA E., 2008, NATIONAL TAX JOURNAL, V39, P301; IOTA A., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V27, P7; DELTA B., 1985, JOURNAL OF PUBLIC ECONOMICS, V35, P186; BETA F., 2008, REVISTA DE ADMINISTRACAO PUBLICA, V3, P237",Article,English,Editora Sintetica,00472727
Alfa F.; Gama D.; Beta B.; Iota C.,Measuring Tax reform across municipalities: Subnational debt and State capacity [registro sintetico 052],2018,Gestion y Politica Publica,1,1,1,14,10.5555/exemplo.0052,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de state capacity, soft budget constraint em entes subnacionais.",state capacity; soft budget constraint; subnational debt; fiscal decentralization; revenue sharing,"DELTA C., 1997, JOURNAL OF PUBLIC ECONOMICS, V33, P375; GAMA D., 2005, GESTION Y POLITICA PUBLICA, V33, P6; GAMA E., 2018, PUBLIUS: THE JOURNAL OF FEDERALISM, V54, P288; GAMA B., 1988, NOVA ECONOMIA, V36, P389; BETA E., 1999, NATIONAL TAX JOURNAL, V60, P29; DELTA E., 1988, REVISTA DE ADMINISTRACAO PUBLICA, V55, P366; DELTA E., 2002, INTERNATIONAL TAX AND PUBLIC FINANCE, V36, P110; GAMA B., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V52, P16; ETA B., 2007, NOVA ECONOMIA, V17, P310; EPSILON B., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V33, P322; TETA A., 1990, GESTION Y POLITICA PUBLICA, V1, P175; GAMA F., 2013, INTERNATIONAL TAX AND PUBLIC FINANCE, V35, P131; DELTA E., 2014, INTERNATIONAL TAX AND PUBLIC FINANCE, V15, P309; GAMA B., 2006, NOVA ECONOMIA, V47, P57; TETA F., 2007, NOVA ECONOMIA, V14, P140; ETA E., 1989, PUBLIUS: THE JOURNAL OF FEDERALISM, V1, P227; BETA A., 2016, GESTION Y POLITICA PUBLICA, V36, P347; ETA B., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V11, P328; DELTA E., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V50, P370; DELTA B., 1995, INTERNATIONAL TAX AND PUBLIC FINANCE, V56, P210; ZETA E., 2001, JOURNAL OF PUBLIC ECONOMICS, V20, P83",Article,English,Editora Sintetica,14054981
Beta B.; Delta E.; Zeta A.; Iota C.,Argentina revisited: Tax competition under Brazil [registro sintetico 053],2019,Gestion y Politica Publica,1,1,1,10,10.5555/exemplo.0053,"Georgia State University, Atlanta, United States; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de tax competition, fiscal capacity em entes subnacionais.",tax competition; fiscal capacity; tax reform,"DELTA A., 2000, NOVA ECONOMIA, V25, P36; ETA A., 2000, NOVA ECONOMIA, V28, P172; ZETA F., 2011, GESTION Y POLITICA PUBLICA, V26, P331; GAMA D., 2016, GESTION Y POLITICA PUBLICA, V37, P281; ALFA A., 2016, GESTION Y POLITICA PUBLICA, V47, P245; ZETA E., 2009, NOVA ECONOMIA, V59, P348; ETA D., 2008, JOURNAL OF PUBLIC ECONOMICS, V11, P284; ALFA F., 1993, NOVA ECONOMIA, V24, P348; ETA C., 2007, REVISTA DE ADMINISTRACAO PUBLICA, V44, P113; ZETA B., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V26, P334; GAMA C., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V58, P14; KAPA C., 2014, PUBLIUS: THE JOURNAL OF FEDERALISM, V29, P254; EPSILON C., 2005, NATIONAL TAX JOURNAL, V23, P282",Article,English,Editora Sintetica,14054981
Teta A.; Zeta C.; Eta E.,Tax effort and Municipal finance in subnational governments: evidence from Fiscal equalization [registro sintetico 054],2017,Gestion y Politica Publica,1,1,1,5,10.5555/exemplo.0054,"Universidade Federal de Pernambuco, Recife, Brazil; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de fiscal equalization, state capacity em entes subnacionais.",fiscal equalization; state capacity; local government; fiscal federalism; subnational debt,"GAMA E., 2004, NATIONAL TAX JOURNAL, V50, P77; ETA B., 1988, NOVA ECONOMIA, V32, P374; ETA D., 1989, NOVA ECONOMIA, V56, P363; GAMA E., 1991, JOURNAL OF PUBLIC ECONOMICS, V3, P44; ALFA B., 1990, NATIONAL TAX JOURNAL, V2, P168; GAMA A., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V7, P93; DELTA E., 1998, NOVA ECONOMIA, V13, P185; BETA D., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V27, P130; TETA B., 2002, NATIONAL TAX JOURNAL, V44, P362; GAMA B., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V51, P180; ALFA D., 2003, REVISTA DE ADMINISTRACAO PUBLICA, V44, P18",Article,English,Editora Sintetica,14054981
